app,task_type,instruction,score,timeuse,op_times
京东,type6,打开京东，在分类中查看AI眼镜相关的商品，选中第一个产品，并下单,0.0,264.9943,6
京东,type7,打开京东，在待评价页面中，将第一条商品评价五星，并发布“非常好”的评价内容,100.0,739.8028,6
美团,type1,帮我搜索一下三米粥铺。,75.0,596.7371,3
美团,type2,帮我点三米粥铺的鸡汤小馄饨,0.0,224.3562,6
美团,type3,打开美团，帮我在上山喝茶(巴黎春天淮海路V店)中点一份经典茶拿铁套餐,16.6667,386.6891,7
美团,type4,打开美团，新增收获地址,48.5,375.0653,8
美团,type5,美团，查询我的账单,48.3333,230.2059,7
美团,type6,打开美团，帮我在酒店名宿 查找一下2025年12月24日至2025年12月25日的上海酒店,100.0,549.1416,7
美团,type7,打开美团， 在电影演出中 购买近期热门电影演出中的一张电影票,31.9697,429.7163,7
美团,type8,打开美团，在看病买药中，购买治疗感冒发烧的999感冒灵颗粒,19.2857,209.3653,9
美团,type9,打开美团，在酒店名宿当中查看12月24日至12月25日的酒店，在上海外滩附近,100.0,543.8697,6
美团,type10,打开美团，去领取并使用外卖大额神券,0.0,204.435,6
淘宝,type1,打开淘宝，搜索小米眼镜,100.0,286.1675,3
淘宝,type2,打开淘宝，查看我关注的店铺列表,100.0,193.1241,2
淘宝,type3,打开淘宝， 关注 影视飓风官方旗舰店，,38.8889,430.1074,8
淘宝,type4,“打开淘宝， 将购物车中的第一件物品下单”,100.0,520.2398,3
淘宝,type5,打开淘宝，帮我购买 一个 内存128G 标配的大疆Osmo Nano拇指相机,0.0,202.4096,6
淘宝,type6,打开淘宝， 进入影视飓风官方旗舰店，并搜索连帽卫衣,16.6667,333.9172,7
淘宝,type7,打开淘宝， 和官方客服联系申请退款售后服务,100.0,514.1787,3
淘宝,type8,打开淘宝，在闪购外卖中点两杯瑞幸咖啡的生椰拿铁，温度要求热，甜度是标准甜,0.0,339.4927,6
淘宝,type9,打开淘宝，将我购物车的第一件商品下单,0.0,305.0574,6
淘宝,type10,打开淘宝，购买影视飓风云柔石肌理卫衣，选择花灰色，2XL,0.0,286.9923,6
网易云音乐,type1,在网易云音乐APP里输入“邓紫棋”进行搜索。并进入主页,100.0,433.2523,4
网易云音乐,type2,搜索歌手邓紫棋，然后点开第一首歌曲进行播放,100.0,369.0494,3
网易云音乐,type3,打开网易云音乐，开启漫游随机播放,100.0,106.143,1
网易云音乐,type4,打开网易云音乐，关注歌手邓紫棋，播放她首页的第一首歌，然后给她发私信“KKSK” ,60.8333,789.7755,13
网易云音乐,type5,打开网易云音乐，在 我的 页面下 我喜欢的音乐中 搜索 曲目 “love story” 并播放 ,100.0,208.994,3
网易云音乐,type6,打开网易云音乐，查看我创建的播客，并播放第一首歌曲,100.0,278.2278,4
网易云音乐,type7,打开网易云音乐，查看官方热歌榜，并播放其中的第一首歌,100.0,256.9,4
微博,type1,在微博搜索罗永浩,100.0,298.4531,3
微博,type2,查看微博热搜第一条内容,100.0,196.2818,2
微博,type3,打开微博，在罗永浩这位博主的主页第一条微博下面评论：“KKSK”,37.5,487.1731,9
微博,type4,打开微博，写微博，发一条“今天天气真好”的微博,100.0,361.4897,3
微博,type5,打开微博，清除我所有未读的消息,64.8485,472.8122,8
微博,type6,打开微博，在我关注的人当中查看“老师好我叫何同学”的微博,14.2857,306.8711,7
微博,type7,打开微博，查看我的浏览记录,100.0,138.0037,2
微博,type8,打开微博，搜索罗永浩,100.0,381.3218,5
微博,type9,查看微博第一条热搜内容,100.0,223.4735,4
小红书,type1,帮我关注一下‘影视飓风’这个博主,0.0,153.9173,6
小红书,type2,打开小红书，查看我收藏的笔记，并打开第一条,100.0,183.0695,3
小红书,type3,帮我搜索博主‘影视飓风’，并查看ta发布的第一条内容,0.0,150.1788,6
小红书,type4,打开小红书，查看我的浏览记录,100.0,156.5728,2
小红书,type5,帮我用小红书搜'上海好玩的地方推荐'，打开排在最前面的那篇笔记,100.0,337.8222,3
小红书,type6,帮我用小红书搜'上海好玩的地方推荐'，打开排在最前面的那篇笔记，点赞并收藏,20.0,609.7653,7
小红书,type7,打开小红书，通过 写文字，发表提问 “上海哪里比较好玩”,100.0,453.4266,6
知乎,type1,打开知乎，搜索：体育比赛中出现过哪些“世界名画”,66.6667,329.815,2
知乎,type2,搜索flashattention，并查看第一条内容,0.0,267.1738,6
知乎,type3,帮我查看一下知乎热榜中的每周必看,100.0,194.3749,2
知乎,type4,打开知乎，发表问题，“上海有哪些好玩的地方,100.0,831.4686,4
知乎,type5,找一下我关注的用户岁月静好,0.0,351.0568,6
知乎,type6,打开知乎，在用户“杜自牧”主页第一个帖子下面评论：“KKSK”,100.0,708.6366,6
知乎,type7,打开知乎，在消息 当中查看 邀请回答里面有哪些问题,100.0,260.0786,2
知乎,type8,打开知乎，在直答中提问 “有哪些好的双边策略”,80.0,269.6428,4
高德,type21,da开高德，点ji更多gong具，在高德精选🀄️找倒语音包，并点入h,100.0,105.1356,2
京东,type21,，，打开京东，点击 我的，dianji设置，滑动划动找倒模式切换，点击进入hou选择长辈模式（（（,100.0,219.7358,5
美团,type21,打开美团，惦记--电影演出，点击上-边左侧1的“电影/影院”，选中“巨幕影城（光谷广场资本大厦店），。。buy 今天（12月1日），12:10分🉐疯狂动物城2的电影票,100.0,350.0129,4
淘宝,type21,打开。淘宝，点击dd上方国补，点击国补官方榜单，选择电视，点击22第4个产品，点击加入dd购物车，选择2件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,0.0,275.3819,6
网易云音乐,type21,hhhhhhhhh打开网易云音乐，点击每日推荐，。dianji播放全部,100.0,97.5501,2
微博,type21,我希望你严格遵循以下指令（严肃😠），✅关注杨奇超话的任务 1）打开weibo 2）在下方图标栏dian击我 3）查看关注 4）下滑找到 -杨奇-     ---并点击 5）点超话 6）点关注，快点开始吧 ,16.6667,265.2726,7
小红书,type21,打开‘小红】】书，点击】】】市集，点击【【【潮玩，选择【】结界兽00并点击,100.0,240.8891,3
知乎,type21,9090打开知乎，点击%……¥%…消息，点击评论转发31212,100.0,152.8628,2
bilibili,type21,打开bilibili，点击叶面下房图标我的，点击关注，上滑找到影视飓风，点几进入影视飓风的主业，点击充电,0.0,203.1277,6
携程,type21,打开携程旅行，dianji酒店，城市点击后       再国内热门城市中煊泽北京 time选择12月24日-12月25，价格选择300-400后点击完成，点击查询酒店,86.25,733.3654,14
饿了么,type21,打开饿了么，在推荐 首页  点击 甜品  饮品，在精选中上  滑找到     霸王      茶姬（中商世     界里店），点击  左侧  轻 因 专区 栏 ，点 击  轻因 ·伯 牙绝弦， 将其  加入购物车， 依次选  择大杯， 少 冰，标  准糖,100.0,586.7876,8
同城,type21,😆😊😊打开同城旅行，点击旅游，emmmm点击跟团游，然后呢，出发日期。。。点击后选择2025年12月18日，游玩天数点击      后选择3天，目的地点击后😊选择成都，,50.0,643.6393,11
淘宝,type9,打开淘宝，将我购物车的第一件商品下单,0.0,214.354,6
微博,type8,打开微博，搜索罗永浩,58.3333,416.9723,9
微博,type9,查看微博第一条热搜内容,100.0,248.4408,4
微博,type10,打开微博，搜索 老师好我叫何同学 ，给他发私信“视频真好”,22.2222,410.1261,8
美团,type8,打开美团，在看病买药中，购买治疗感冒发烧的999感冒灵颗粒,20.0,325.0194,7
知乎,type8,打开知乎，在直答中提问 “有哪些好的双边策略”,80.0,316.7128,4
高德,type31,打开高德地图，查找世界城广场，查看前往该地的路线图，最好是公共交通，地铁优先,100.0,140.5312,3
京东,type3,帮我将影石Insta360 Go3S这款拇指相机 加入购物车,0.0,215.0531,6
京东,type31,打开京东，查看我的浏览记录，进入11月9日我浏览的第一家店铺,100.0,237.9429,5
淘宝,type5,打开淘宝，帮我购买 一个 内存128G 标配的大疆Osmo Nano拇指相机,100.0,365.6928,6
美团,type31,打开美团，在浏览记录中查看我11月27日浏览的商品，进入该商品后帮我再来一单,100.0,226.7668,5
饿了么,type31,打开饿了么，帮我点一份麦当劳，我想要一份安格斯厚牛堡，五块麦乐鸡，一份中杯无糖可乐,50.0,566.9194,12
